complaint_id,complaint_text,category,location,timestamp,priority,department,status,resolution_days
GR000021,Water pipeline burst causing shortage Large water supply problem reported by citizens in Central City.. Reference ID: 9834.,Water Supply,Central City,2023-03-09 23:00:00,Medium,Utilities,Open,52.0
GR000022,Insufficient parking spaces in market Please check the parking issue at West Zone.. Reference ID: 8062.,Parking,West Zone,2023-07-01 13:00:00,Medium,Utilities,In Progress,4.0
GR000023,Street lighting system failure in the area The street light status in North District is critical.. Reference ID: 2790.,Street Light,North District,2023-05-08 06:00:00,High,Municipal Services,Resolved,28.0
GR000024,Sanitation workers absent for a week Large sanitation problem reported by citizens in Central City.. Reference ID: 2235.,Sanitation,Central City,2023-08-15 17:00:00,Medium,Public Works,Open,35.0
GR000025,Multiple potholes near the market making driving dangerous Large pothole problem reported by citizens in South District.. Reference ID: 7658.,Pothole,South District,2023-09-06 15:00:00,High,Municipal Services,In Progress,11.0
GR000026,Parking violation enforcement needed The parking status in North District is critical.. Reference ID: 8454.,Parking,North District,2023-05-27 13:00:00,High,Utilities,Open,
GR000027,No water supply for 5 days The water supply status in North District is critical.. Reference ID: 1936.,Water Supply,North District,2023-01-26 18:00:00,High,Utilities,Resolved,34.0
GR000028,Garbage not collected for days Large sanitation problem reported by citizens in North District.. Reference ID: 2122.,Sanitation,North District,2023-11-01 02:00:00,Medium,Municipal Services,In Progress,
GR000029,Traffic light not functioning properly Concern regarding traffic light on the main street of West Zone.. Reference ID: 2343.,Traffic Light,West Zone,2023-08-03 21:00:00,Low,Police,In Progress,
GR000030,Traffic noise intolerable at night Immediate attention needed for noise pollution near West Zone.. Reference ID: 3144.,Noise Pollution,West Zone,2023-12-10 20:00:00,Medium,Police,In Progress,49.0
GR000031,Street lighting system failure in the area Concern regarding street light on the main street of North District.. Reference ID: 2638.,Street Light,North District,2023-02-07 17:00:00,Low,Municipal Services,Resolved,
GR000032,Loud music from nearby establishment The noise pollution status in South District is critical.. Reference ID: 5669.,Noise Pollution,South District,2023-03-22 14:00:00,High,Police,Resolved,52.0
GR000033,Inadequate police patrolling Please check the community safety issue at North District.. Reference ID: 3200.,Community Safety,North District,2023-05-16 03:00:00,High,Public Works,Resolved,18.0
GR000034,Electricity bill overcharged without reason The electricity status in Downtown is critical.. Reference ID: 4335.,Electricity,Downtown,2023-12-18 20:00:00,High,Police,Resolved,58.0
GR000035,New potholes appeared after rain The pothole status in South District is critical.. Reference ID: 1722.,Pothole,South District,2023-01-02 10:00:00,High,Municipal Services,Resolved,11.0
GR000036,Uneven road surface causing accidents Concern regarding road damage on the main street of Commercial Area.. Reference ID: 1158.,Road Damage,Commercial Area,2023-02-27 02:00:00,High,Municipal Services,Resolved,
GR000037,Loud music from nearby establishment Immediate attention needed for noise pollution near Downtown.. Reference ID: 3088.,Noise Pollution,Downtown,2023-01-22 09:00:00,Medium,Police,Open,14.0
GR000038,Contaminated water from municipal supply Concern regarding water supply on the main street of South District.. Reference ID: 7658.,Water Supply,South District,2023-11-14 23:00:00,Low,Municipal Services,Open,52.0
GR000039,Garbage not collected for days Large sanitation problem reported by citizens in Industrial Zone.. Reference ID: 6442.,Sanitation,Industrial Zone,2023-07-30 21:00:00,Medium,Municipal Services,In Progress,
GR000040,Street light not working for 3 weeks Immediate attention needed for street light near Industrial Zone.. Reference ID: 4644.,Street Light,Industrial Zone,2023-04-13 14:00:00,Medium,Police,In Progress,56.0
GR000041,No water supply for 5 days Large water supply problem reported by citizens in West Zone.. Reference ID: 7528.,Water Supply,West Zone,2023-06-18 08:00:00,Medium,Public Works,In Progress,33.0
GR000042,No designated parking area created Please check the parking issue at Commercial Area.. Reference ID: 2889.,Parking,Commercial Area,2023-05-14 05:00:00,Medium,Police,Open,
GR000043,No designated parking area created Immediate attention needed for parking near Suburb Area.. Reference ID: 9379.,Parking,Suburb Area,2023-03-01 12:00:00,Medium,Municipal Services,In Progress,
GR000044,Vehicles blocking entire street The parking status in North District is critical.. Reference ID: 8066.,Parking,North District,2023-02-05 21:00:00,High,Police,Resolved,55.0
GR000045,Dark road at night due to non-functional lights Immediate attention needed for street light near Central City.. Reference ID: 6344.,Street Light,Central City,2023-07-26 22:00:00,Medium,Police,Resolved,
GR000046,Vehicles blocking entire street Concern regarding parking on the main street of Industrial Zone.. Reference ID: 5930.,Parking,Industrial Zone,2023-07-27 17:00:00,Low,Public Works,In Progress,
GR000047,No designated parking area created Immediate attention needed for parking near Downtown.. Reference ID: 8238.,Parking,Downtown,2023-08-15 21:00:00,Medium,Municipal Services,Resolved,58.0
GR000048,Dirty streets need immediate cleaning Concern regarding sanitation on the main street of South District.. Reference ID: 6491.,Sanitation,South District,2023-02-17 07:00:00,Low,Police,Open,10.0
GR000049,Multiple potholes near the market making driving dangerous Immediate attention needed for pothole near North District.. Reference ID: 2193.,Pothole,North District,2023-08-22 13:00:00,High,Municipal Services,Resolved,32.0
GR000050,Vehicles blocking entire street Please check the parking issue at West Zone.. Reference ID: 2746.,Parking,West Zone,2023-08-06 07:00:00,Medium,Municipal Services,Resolved,4.0
GR000051,Frequent theft in the area Immediate attention needed for community safety near West Zone.. Reference ID: 3184.,Community Safety,West Zone,2023-08-26 21:00:00,High,Police,In Progress,47.0
GR000052,Street crime increasing daily Large community safety problem reported by citizens in Industrial Zone.. Reference ID: 8777.,Community Safety,Industrial Zone,2023-08-19 08:00:00,High,Municipal Services,Resolved,
GR000053,Stray dogs roaming streets dangerously The community safety status in Residential Area is critical.. Reference ID: 8206.,Community Safety,Residential Area,2023-02-09 22:00:00,High,Police,Open,
GR000054,Construction noise disturbing residents Large noise pollution problem reported by citizens in Commercial Area.. Reference ID: 3471.,Noise Pollution,Commercial Area,2023-04-29 12:00:00,Medium,Municipal Services,Resolved,
GR000055,No designated parking area created Concern regarding parking on the main street of Industrial Zone.. Reference ID: 8633.,Parking,Industrial Zone,2023-08-01 01:00:00,Low,Municipal Services,In Progress,50.0
GR000056,No coordination between signals Immediate attention needed for traffic light near North District.. Reference ID: 1096.,Traffic Light,North District,2023-06-30 09:00:00,Medium,Utilities,In Progress,48.0
GR000057,Stray dogs roaming streets dangerously Immediate attention needed for community safety near Downtown.. Reference ID: 4595.,Community Safety,Downtown,2023-05-20 13:00:00,High,Utilities,Open,43.0
GR000058,Parking violation enforcement needed Large parking problem reported by citizens in East Zone.. Reference ID: 9751.,Parking,East Zone,2023-01-14 12:00:00,Medium,Public Works,Open,9.0
GR000059,Entire road surface needs repair The road damage status in East Zone is critical.. Reference ID: 7211.,Road Damage,East Zone,2023-06-17 06:00:00,High,Utilities,In Progress,57.0
GR000060,Parking violation enforcement needed The parking status in Central City is critical.. Reference ID: 2341.,Parking,Central City,2023-08-29 00:00:00,High,Public Works,In Progress,
GR000061,Street light not working for 3 weeks Large street light problem reported by citizens in North District.. Reference ID: 4266.,Street Light,North District,2023-01-11 19:00:00,Medium,Municipal Services,Open,
GR000062,Multiple broken street lights on the avenue Immediate attention needed for street light near Downtown.. Reference ID: 5198.,Street Light,Downtown,2023-07-08 05:00:00,Medium,Public Works,Open,7.0
GR000063,Traffic light stuck on red Concern regarding traffic light on the main street of North District.. Reference ID: 7149.,Traffic Light,North District,2023-07-23 22:00:00,Low,Municipal Services,Open,54.0
GR000064,Contaminated water from municipal supply Concern regarding water supply on the main street of South District.. Reference ID: 2983.,Water Supply,South District,2023-10-17 01:00:00,Low,Police,Resolved,24.0
GR000065,Dark road at night due to non-functional lights Please check the street light issue at Commercial Area.. Reference ID: 7882.,Street Light,Commercial Area,2023-09-08 03:00:00,Medium,Utilities,In Progress,54.0
GR000066,Uneven road surface causing accidents Large road damage problem reported by citizens in East Zone.. Reference ID: 9548.,Road Damage,East Zone,2023-11-30 08:00:00,High,Utilities,In Progress,47.0
GR000067,Traffic light stuck on red Large traffic light problem reported by citizens in Central City.. Reference ID: 2419.,Traffic Light,Central City,2023-05-23 14:00:00,Medium,Municipal Services,In Progress,43.0
GR000068,Insufficient parking spaces in market Immediate attention needed for parking near Suburb Area.. Reference ID: 6325.,Parking,Suburb Area,2023-04-04 15:00:00,Medium,Municipal Services,In Progress,22.0
GR000069,No electricity for one week Concern regarding electricity on the main street of Downtown.. Reference ID: 1166.,Electricity,Downtown,2023-09-22 06:00:00,Low,Public Works,Open,32.0
GR000070,Street crime increasing daily Immediate attention needed for community safety near West Zone.. Reference ID: 8342.,Community Safety,West Zone,2023-01-09 02:00:00,High,Police,Open,16.0
GR000071,No electricity for one week Immediate attention needed for electricity near Downtown.. Reference ID: 9698.,Electricity,Downtown,2023-06-26 13:00:00,Medium,Police,In Progress,18.0
GR000072,Electricity bill overcharged without reason Please check the electricity issue at Central City.. Reference ID: 4155.,Electricity,Central City,2023-06-11 03:00:00,Medium,Municipal Services,Open,
GR000073,Road subsidence near municipal area Please check the road damage issue at Central City.. Reference ID: 4180.,Road Damage,Central City,2023-06-01 07:00:00,Medium,Police,Open,46.0
GR000074,Inadequate police patrolling Please check the community safety issue at East Zone.. Reference ID: 1893.,Community Safety,East Zone,2023-10-11 09:00:00,High,Municipal Services,Resolved,32.0
GR000075,Dark road at night due to non-functional lights Immediate attention needed for street light near North District.. Reference ID: 8843.,Street Light,North District,2023-08-14 10:00:00,Medium,Municipal Services,Open,
GR000076,Entire road surface needs repair Immediate attention needed for road damage near South District.. Reference ID: 9056.,Road Damage,South District,2023-02-07 18:00:00,Medium,Public Works,Open,
GR000077,Traffic light not functioning properly Large traffic light problem reported by citizens in Central City.. Reference ID: 2940.,Traffic Light,Central City,2023-10-13 13:00:00,Medium,Municipal Services,Resolved,59.0
GR000078,Uneven road surface causing accidents The road damage status in Central City is critical.. Reference ID: 1986.,Road Damage,Central City,2023-11-09 23:00:00,High,Public Works,Open,17.0
GR000079,Multiple broken street lights on the avenue Large street light problem reported by citizens in East Zone.. Reference ID: 2229.,Street Light,East Zone,2023-03-22 00:00:00,Medium,Utilities,In Progress,31.0
GR000080,Electricity bill overcharged without reason The electricity status in North District is critical.. Reference ID: 5632.,Electricity,North District,2023-12-26 14:00:00,High,Public Works,Resolved,
GR000081,Electricity bill overcharged without reason Immediate attention needed for electricity near Downtown.. Reference ID: 2880.,Electricity,Downtown,2023-10-06 07:00:00,Medium,Municipal Services,In Progress,5.0
GR000082,Severe pothole damage on highway affecting commute Concern regarding pothole on the main street of East Zone.. Reference ID: 5728.,Pothole,East Zone,2023-08-13 03:00:00,High,Utilities,Resolved,26.0
GR000083,Faulty electrical connection creating hazard Immediate attention needed for electricity near Commercial Area.. Reference ID: 2317.,Electricity,Commercial Area,2023-11-03 01:00:00,High,Utilities,Resolved,17.0
GR000084,Multiple potholes near the market making driving dangerous Concern regarding pothole on the main street of South District.. Reference ID: 1339.,Pothole,South District,2023-12-11 08:00:00,High,Public Works,Open,42.0
GR000085,Cracked asphalt creating hazard Concern regarding road damage on the main street of Central City.. Reference ID: 8141.,Road Damage,Central City,2023-11-22 15:00:00,High,Public Works,In Progress,22.0
GR000086,Loud music from nearby establishment The noise pollution status in South District is critical.. Reference ID: 7744.,Noise Pollution,South District,2023-12-22 15:00:00,High,Police,Resolved,53.0
GR000087,Street crime increasing daily Please check the community safety issue at North District.. Reference ID: 6153.,Community Safety,North District,2023-05-10 10:00:00,High,Public Works,In Progress,53.0
GR000088,New potholes appeared after rain Immediate attention needed for pothole near Commercial Area.. Reference ID: 1888.,Pothole,Commercial Area,2023-04-07 16:00:00,Medium,Police,Resolved,41.0
GR000089,Cracked asphalt creating hazard The road damage status in North District is critical.. Reference ID: 9998.,Road Damage,North District,2023-03-09 09:00:00,High,Utilities,Resolved,2.0
GR000090,Signal timing causes congestion The traffic light status in West Zone is critical.. Reference ID: 1224.,Traffic Light,West Zone,2023-10-10 13:00:00,High,Public Works,Open,59.0
GR000091,Street light not working for 3 weeks Large street light problem reported by citizens in Residential Area.. Reference ID: 9165.,Street Light,Residential Area,2023-05-30 16:00:00,Medium,Police,In Progress,31.0
GR000092,Low water pressure affecting households Immediate attention needed for water supply near Residential Area.. Reference ID: 4122.,Water Supply,Residential Area,2023-11-03 16:00:00,Medium,Municipal Services,Open,
GR000093,No designated parking area created Please check the parking issue at Suburb Area.. Reference ID: 5634.,Parking,Suburb Area,2023-06-02 18:00:00,Medium,Utilities,Open,31.0
GR000094,Industrial noise exceeding permissible levels Immediate attention needed for noise pollution near Suburb Area.. Reference ID: 6272.,Noise Pollution,Suburb Area,2023-04-07 22:00:00,Medium,Municipal Services,Resolved,55.0
GR000095,No designated parking area created Immediate attention needed for parking near North District.. Reference ID: 7246.,Parking,North District,2023-07-17 21:00:00,Medium,Municipal Services,In Progress,9.0
GR000096,Inadequate police patrolling Please check the community safety issue at Downtown.. Reference ID: 8213.,Community Safety,Downtown,2023-02-21 16:00:00,High,Utilities,Open,27.0
GR000097,Sanitation workers absent for a week The sanitation status in South District is critical.. Reference ID: 6546.,Sanitation,South District,2023-11-16 22:00:00,High,Utilities,Resolved,
GR000098,Industrial noise exceeding permissible levels The noise pollution status in Commercial Area is critical.. Reference ID: 8994.,Noise Pollution,Commercial Area,2023-10-05 01:00:00,High,Public Works,Open,59.0
GR000099,Frequent power outages affecting business Immediate attention needed for electricity near West Zone.. Reference ID: 2612.,Electricity,West Zone,2023-11-21 22:00:00,Medium,Public Works,In Progress,
GR000100,Frequent power outages affecting business The electricity status in North District is critical.. Reference ID: 1919.,Electricity,North District,2023-05-31 11:00:00,High,Police,In Progress,
GR000101,Stray dogs roaming streets dangerously Large community safety problem reported by citizens in Industrial Zone.. Reference ID: 3868.,Community Safety,Industrial Zone,2023-02-10 19:00:00,High,Utilities,Resolved,32.0
GR000102,Signal timing causes congestion Immediate attention needed for traffic light near East Zone.. Reference ID: 5161.,Traffic Light,East Zone,2023-08-24 08:00:00,Medium,Public Works,In Progress,44.0
GR000103,Frequent theft in the area Immediate attention needed for community safety near East Zone.. Reference ID: 6661.,Community Safety,East Zone,2023-10-28 09:00:00,High,Utilities,Resolved,
GR000104,Faulty electrical connection creating hazard Immediate attention needed for electricity near West Zone.. Reference ID: 2747.,Electricity,West Zone,2023-05-02 12:00:00,High,Police,Resolved,
GR000105,Faulty electrical connection creating hazard The electricity status in North District is critical.. Reference ID: 1132.,Electricity,North District,2023-10-17 21:00:00,High,Public Works,Resolved,54.0
GR000106,No electricity for one week Large electricity problem reported by citizens in West Zone.. Reference ID: 4115.,Electricity,West Zone,2023-11-14 08:00:00,Medium,Municipal Services,Resolved,
GR000107,New potholes appeared after rain Please check the pothole issue at Central City.. Reference ID: 6977.,Pothole,Central City,2023-03-09 02:00:00,Medium,Police,In Progress,12.0
GR000108,Contaminated water from municipal supply Concern regarding water supply on the main street of East Zone.. Reference ID: 9221.,Water Supply,East Zone,2023-05-20 05:00:00,Low,Police,In Progress,19.0
GR000109,Industrial noise exceeding permissible levels Please check the noise pollution issue at South District.. Reference ID: 3306.,Noise Pollution,South District,2023-04-26 21:00:00,Medium,Utilities,Resolved,51.0
GR000110,No designated parking area created Concern regarding parking on the main street of North District.. Reference ID: 3024.,Parking,North District,2023-08-21 11:00:00,Low,Police,Resolved,41.0
GR000111,Loud music from nearby establishment Immediate attention needed for noise pollution near South District.. Reference ID: 1410.,Noise Pollution,South District,2023-11-14 17:00:00,Medium,Police,Resolved,
GR000112,Dark road at night due to non-functional lights Immediate attention needed for street light near Residential Area.. Reference ID: 2911.,Street Light,Residential Area,2023-03-13 01:00:00,Medium,Public Works,In Progress,8.0
GR000113,Multiple broken street lights on the avenue Immediate attention needed for street light near West Zone.. Reference ID: 8432.,Street Light,West Zone,2023-07-09 21:00:00,Medium,Utilities,Resolved,10.0
GR000114,Parking violation enforcement needed Concern regarding parking on the main street of South District.. Reference ID: 7686.,Parking,South District,2023-05-24 01:00:00,Medium,Police,Open,16.0
GR000115,Traffic noise intolerable at night Concern regarding noise pollution on the main street of South District.. Reference ID: 6876.,Noise Pollution,South District,2023-02-01 12:00:00,Low,Police,Open,55.0
GR000116,Cracked asphalt creating hazard Concern regarding road damage on the main street of South District.. Reference ID: 1349.,Road Damage,South District,2023-01-26 10:00:00,High,Municipal Services,Open,14.0
GR000117,Multiple broken street lights on the avenue Concern regarding street light on the main street of Commercial Area.. Reference ID: 4538.,Street Light,Commercial Area,2023-04-30 10:00:00,Low,Municipal Services,Resolved,
GR000118,Dirty streets need immediate cleaning Large sanitation problem reported by citizens in East Zone.. Reference ID: 2801.,Sanitation,East Zone,2023-12-05 00:00:00,Medium,Municipal Services,Open,51.0
GR000119,Contaminated water from municipal supply Please check the water supply issue at Downtown.. Reference ID: 3854.,Water Supply,Downtown,2023-05-16 01:00:00,Medium,Municipal Services,Resolved,8.0
GR000120,Street lighting system failure in the area The street light status in Residential Area is critical.. Reference ID: 9408.,Street Light,Residential Area,2023-10-31 03:00:00,High,Utilities,Resolved,
GR000121,Traffic light stuck on red Immediate attention needed for traffic light near North District.. Reference ID: 1510.,Traffic Light,North District,2023-02-01 15:00:00,Medium,Utilities,In Progress,32.0
GR000122,Entire road surface needs repair The road damage status in South District is critical.. Reference ID: 3430.,Road Damage,South District,2023-02-03 04:00:00,High,Police,Resolved,36.0
GR000123,Traffic noise intolerable at night Immediate attention needed for noise pollution near Industrial Zone.. Reference ID: 9282.,Noise Pollution,Industrial Zone,2023-11-06 13:00:00,Medium,Public Works,Resolved,
GR000124,Street crime increasing daily Immediate attention needed for community safety near West Zone.. Reference ID: 4743.,Community Safety,West Zone,2023-07-31 10:00:00,High,Utilities,In Progress,7.0
GR000125,Traffic noise intolerable at night The noise pollution status in Industrial Zone is critical.. Reference ID: 7132.,Noise Pollution,Industrial Zone,2023-03-20 21:00:00,High,Utilities,Open,
GR000126,Street lighting system failure in the area Please check the street light issue at South District.. Reference ID: 7105.,Street Light,South District,2023-03-08 17:00:00,Medium,Public Works,Resolved,36.0
GR000127,Industrial noise exceeding permissible levels The noise pollution status in South District is critical.. Reference ID: 7929.,Noise Pollution,South District,2023-01-27 09:00:00,High,Police,In Progress,
GR000128,Stray dogs roaming streets dangerously Immediate attention needed for community safety near West Zone.. Reference ID: 4674.,Community Safety,West Zone,2023-02-25 11:00:00,High,Police,Open,37.0
GR000129,No water supply for 5 days Concern regarding water supply on the main street of Industrial Zone.. Reference ID: 5381.,Water Supply,Industrial Zone,2023-01-15 05:00:00,Low,Police,Resolved,59.0
GR000130,Construction noise disturbing residents Large noise pollution problem reported by citizens in Suburb Area.. Reference ID: 3347.,Noise Pollution,Suburb Area,2023-10-17 21:00:00,Medium,Utilities,Open,
GR000131,Multiple potholes near the market making driving dangerous Immediate attention needed for pothole near South District.. Reference ID: 7878.,Pothole,South District,2023-08-21 10:00:00,High,Municipal Services,In Progress,21.0
GR000132,Traffic light not functioning properly Please check the traffic light issue at Downtown.. Reference ID: 3549.,Traffic Light,Downtown,2023-03-22 19:00:00,Medium,Public Works,Resolved,
GR000133,Uneven road surface causing accidents Concern regarding road damage on the main street of Industrial Zone.. Reference ID: 8242.,Road Damage,Industrial Zone,2023-08-01 08:00:00,High,Municipal Services,Resolved,
GR000134,No designated parking area created Concern regarding parking on the main street of South District.. Reference ID: 8972.,Parking,South District,2023-09-27 21:00:00,Low,Police,Open,
GR000135,Traffic light not functioning properly Large traffic light problem reported by citizens in North District.. Reference ID: 5938.,Traffic Light,North District,2023-04-19 04:00:00,Medium,Police,In Progress,1.0
GR000136,Cracked asphalt creating hazard Large road damage problem reported by citizens in Industrial Zone.. Reference ID: 7229.,Road Damage,Industrial Zone,2023-09-30 22:00:00,High,Municipal Services,Resolved,43.0
GR000137,Industrial noise exceeding permissible levels Please check the noise pollution issue at South District.. Reference ID: 8147.,Noise Pollution,South District,2023-01-10 14:00:00,Medium,Public Works,In Progress,37.0
GR000138,No designated parking area created Please check the parking issue at Industrial Zone.. Reference ID: 7636.,Parking,Industrial Zone,2023-01-11 10:00:00,Medium,Municipal Services,Resolved,45.0
GR000139,Industrial noise exceeding permissible levels Please check the noise pollution issue at South District.. Reference ID: 4986.,Noise Pollution,South District,2023-08-12 18:00:00,Medium,Utilities,Resolved,
GR000140,Electricity bill overcharged without reason The electricity status in Suburb Area is critical.. Reference ID: 3754.,Electricity,Suburb Area,2023-02-09 16:00:00,High,Public Works,Resolved,58.0
GR000141,Loud music from nearby establishment Large noise pollution problem reported by citizens in Suburb Area.. Reference ID: 2684.,Noise Pollution,Suburb Area,2023-03-16 08:00:00,Medium,Municipal Services,Open,49.0
GR000142,Street lighting system failure in the area Immediate attention needed for street light near East Zone.. Reference ID: 8354.,Street Light,East Zone,2023-12-15 18:00:00,Medium,Police,Resolved,29.0
GR000143,Street lighting system failure in the area The street light status in Residential Area is critical.. Reference ID: 5500.,Street Light,Residential Area,2023-10-30 01:00:00,High,Police,Resolved,
GR000144,Entire road surface needs repair Please check the road damage issue at Residential Area.. Reference ID: 7041.,Road Damage,Residential Area,2023-05-27 02:00:00,Medium,Public Works,Resolved,25.0
GR000145,Entire road surface needs repair Immediate attention needed for road damage near Downtown.. Reference ID: 4084.,Road Damage,Downtown,2023-06-14 19:00:00,Medium,Utilities,Resolved,
GR000146,Deep pothole on Main Road causing accidents The pothole status in Residential Area is critical.. Reference ID: 2381.,Pothole,Residential Area,2023-09-16 20:00:00,High,Municipal Services,Open,
GR000147,Cracked asphalt creating hazard The road damage status in Residential Area is critical.. Reference ID: 7108.,Road Damage,Residential Area,2023-05-25 12:00:00,High,Utilities,In Progress,4.0
GR000148,Traffic noise intolerable at night Please check the noise pollution issue at South District.. Reference ID: 7333.,Noise Pollution,South District,2023-05-26 08:00:00,Medium,Municipal Services,In Progress,
GR000149,Dirty streets need immediate cleaning Immediate attention needed for sanitation near Suburb Area.. Reference ID: 3112.,Sanitation,Suburb Area,2023-11-01 22:00:00,Medium,Public Works,In Progress,42.0
GR000150,Construction noise disturbing residents Immediate attention needed for noise pollution near East Zone.. Reference ID: 9331.,Noise Pollution,East Zone,2023-07-05 00:00:00,Medium,Police,In Progress,
GR000151,Water pipeline burst causing shortage Large water supply problem reported by citizens in Suburb Area.. Reference ID: 4711.,Water Supply,Suburb Area,2023-03-12 04:00:00,Medium,Public Works,In Progress,7.0
GR000152,Frequent theft in the area The community safety status in Commercial Area is critical.. Reference ID: 3147.,Community Safety,Commercial Area,2023-11-02 12:00:00,High,Municipal Services,Open,
GR000153,No coordination between signals Please check the traffic light issue at East Zone.. Reference ID: 7731.,Traffic Light,East Zone,2023-07-06 21:00:00,Medium,Municipal Services,In Progress,49.0
GR000154,Cracked asphalt creating hazard The road damage status in West Zone is critical.. Reference ID: 8684.,Road Damage,West Zone,2023-04-10 11:00:00,High,Utilities,In Progress,50.0
GR000155,Parking violation enforcement needed Large parking problem reported by citizens in Commercial Area.. Reference ID: 4271.,Parking,Commercial Area,2023-11-06 04:00:00,Medium,Police,Open,56.0
GR000156,Construction noise disturbing residents Concern regarding noise pollution on the main street of Commercial Area.. Reference ID: 3042.,Noise Pollution,Commercial Area,2023-05-26 02:00:00,Low,Municipal Services,In Progress,33.0
GR000157,Garbage not collected for days Large sanitation problem reported by citizens in Industrial Zone.. Reference ID: 8391.,Sanitation,Industrial Zone,2023-06-28 00:00:00,Medium,Utilities,Open,24.0
GR000158,No water supply for 5 days The water supply status in Industrial Zone is critical.. Reference ID: 4678.,Water Supply,Industrial Zone,2023-01-15 10:00:00,High,Public Works,Resolved,51.0
GR000159,Garbage not collected for days The sanitation status in East Zone is critical.. Reference ID: 8740.,Sanitation,East Zone,2023-12-23 04:00:00,High,Utilities,In Progress,58.0
GR000160,Dark road at night due to non-functional lights Large street light problem reported by citizens in North District.. Reference ID: 3449.,Street Light,North District,2023-10-08 23:00:00,Medium,Utilities,Open,16.0
GR000161,Frequent power outages affecting business Large electricity problem reported by citizens in South District.. Reference ID: 7878.,Electricity,South District,2023-11-24 19:00:00,Medium,Utilities,Open,
GR000162,Entire road surface needs repair Concern regarding road damage on the main street of Downtown.. Reference ID: 4963.,Road Damage,Downtown,2023-03-15 09:00:00,Medium,Utilities,Open,16.0
GR000163,Signal timing causes congestion Please check the traffic light issue at Industrial Zone.. Reference ID: 9576.,Traffic Light,Industrial Zone,2023-07-04 02:00:00,Medium,Public Works,In Progress,3.0
